                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3383,                 1.7984,                 1.3307,                0.51783,                0.27719,                0.31549,                0.19329,                 1.5786,                 2.1648,                 1.4311,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.3286,                  1.681,                 1.3256,                0.52051,                0.35732,                0.41122,                0.25956,                 1.3777,                 1.7115,                 1.3114,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 1.3032,                  1.586,                 1.2735,                0.51956,                0.44683,                0.51392,                0.34768,                  1.298,                 1.4647,                 1.2682,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                 1.3512,                 1.6563,                 1.3181,                0.55695,                0.52423,                0.55891,                0.38936,                 1.2335,                 1.3071,                 1.2175,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                 1.2808,                 1.4383,                 1.2937,                0.60623,                0.55122,                0.59352,                0.41945,                 1.2103,                 1.2292,                 1.2088,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                 1.2287,                 1.5178,                 1.2692,                0.60815,                0.57049,                0.60741,                0.43047,                 1.2091,                 1.1987,                 1.2033,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 1.2475,                 1.3561,                 1.2767,                0.69465,                0.58189,                0.63276,                0.44515,                 1.1846,                 1.1527,                 1.1929,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 1.2443,                 1.3694,                 1.2697,                0.63946,                0.60297,                 0.6446,                  0.451,                 1.1865,                 1.1069,                 1.1936,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                 1.1898,                 1.3087,                 1.2265,                0.69702,                0.59781,                  0.659,                0.46471,                 1.1755,                 1.0769,                 1.1914,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                  1.212,                 1.3783,                 1.2696,                0.68849,                0.60771,                0.67093,                0.47196,                 1.1759,                 1.0609,                 1.1876,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                 1.2092,                 1.3169,                 1.2456,                 0.7438,                0.59051,                0.69916,                0.49065,                 1.1642,                 1.0401,                  1.187,             0.00010148,             0.00010148,             0.00010148
                     12,                 1.2473,                 1.3384,                 1.2875,                0.74322,                0.60776,                0.71917,                0.50046,                 1.1628,                 1.0257,                 1.1786,             0.00011059,             0.00011059,             0.00011059
                     13,                 1.1728,                 1.2473,                 1.2319,                0.68574,                0.64003,                0.69365,                0.50282,                 1.1446,                 1.0043,                 1.1732,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.1705,                 1.2558,                 1.2529,                0.74571,                0.64148,                0.71036,                0.50557,                 1.1526,                 0.9881,                 1.1846,             0.00011617,             0.00011617,             0.00011617
                     15,                 1.1519,                 1.2178,                 1.2315,                0.73556,                0.65486,                0.72938,                0.52205,                 1.1383,                0.98051,                 1.1741,             0.00011594,             0.00011594,             0.00011594
                     16,                  1.185,                 1.2259,                 1.2389,                0.75304,                0.66126,                0.75711,                0.53394,                 1.1381,                0.97104,                 1.1713,              0.0001157,              0.0001157,              0.0001157
                     17,                 1.1958,                 1.2225,                 1.2379,                0.73724,                0.65952,                0.73946,                0.51625,                 1.1425,                0.97154,                 1.1706,             0.00011547,             0.00011547,             0.00011547
                     18,                  1.216,                 1.1632,                 1.2216,                 0.7292,                0.64981,                0.73811,                0.52859,                 1.1327,                 0.9629,                  1.162,             0.00011523,             0.00011523,             0.00011523
                     19,                 1.1364,                   1.17,                 1.2159,                0.72721,                0.70049,                 0.7543,                0.53783,                 1.1307,                0.95674,                 1.1636,             0.00011499,             0.00011499,             0.00011499
                     20,                 1.1809,                 1.2066,                 1.2399,                0.71094,                0.69715,                0.74701,                 0.5368,                 1.1259,                 0.9383,                 1.1614,             0.00011476,             0.00011476,             0.00011476
                     21,                 1.1969,                 1.1488,                 1.2296,                0.75914,                0.67604,                  0.758,                0.54982,                 1.1157,                0.93018,                 1.1585,             0.00011452,             0.00011452,             0.00011452
                     22,                 1.1661,                  1.127,                 1.2043,                0.74498,                0.68971,                0.76414,                0.54554,                 1.1023,                0.91794,                  1.152,             0.00011429,             0.00011429,             0.00011429
                     23,                 1.1551,                  1.162,                 1.2436,                0.76281,                0.68863,                0.77708,                 0.5536,                 1.1043,                0.90947,                 1.1522,             0.00011405,             0.00011405,             0.00011405
                     24,                 1.1549,                 1.1726,                 1.2138,                0.73781,                0.72784,                0.78233,                 0.5554,                 1.0938,                0.90048,                 1.1445,             0.00011382,             0.00011382,             0.00011382
                     25,                 1.1267,                 1.0948,                 1.2015,                0.72427,                0.73122,                0.78805,                0.56351,                 1.0932,                0.89562,                 1.1437,             0.00011358,             0.00011358,             0.00011358
                     26,                 1.1742,                  1.133,                 1.2195,                  0.757,                0.74468,                 0.7937,                0.56958,                 1.0824,                0.87232,                 1.1372,             0.00011335,             0.00011335,             0.00011335
                     27,                 1.1232,                 1.1076,                 1.2047,                0.76449,                0.71261,                0.79098,                0.56952,                 1.0936,                0.87324,                 1.1468,             0.00011311,             0.00011311,             0.00011311
                     28,                 1.1343,                 1.0903,                 1.1975,                0.75754,                0.74577,                0.79521,                0.57333,                 1.0754,                0.86107,                 1.1309,             0.00011287,             0.00011287,             0.00011287
                     29,                 1.2051,                 1.1236,                 1.2032,                0.79568,                 0.7173,                 0.8085,                0.59263,                  1.059,                0.84725,                  1.122,             0.00011264,             0.00011264,             0.00011264
                     30,                 1.1179,                 1.0457,                 1.1889,                0.82865,                0.72157,                0.81318,                0.58113,                   1.06,                0.84352,                 1.1216,              0.0001124,              0.0001124,              0.0001124
                     31,                 1.1113,                 1.0696,                 1.1865,                0.82043,                0.73094,                0.81411,                0.58789,                 1.0519,                0.84298,                 1.1121,             0.00011217,             0.00011217,             0.00011217
                     32,                 1.1092,                 1.0869,                 1.1752,                0.80328,                0.72702,                0.80709,                0.58245,                 1.0527,                0.84381,                 1.1147,             0.00011193,             0.00011193,             0.00011193
                     33,                 1.1541,                 1.1071,                  1.228,                0.74981,                 0.7762,                0.81164,                0.58764,                  1.046,                 0.8306,                 1.1144,              0.0001117,              0.0001117,              0.0001117
                     34,                 1.1057,                 1.0655,                 1.1849,                0.76607,                0.78382,                0.82075,                0.59427,                 1.0463,                0.83434,                 1.1175,             0.00011146,             0.00011146,             0.00011146
                     35,                 1.1127,                 1.1362,                 1.2227,                0.76027,                0.77203,                0.82004,                0.59729,                  1.038,                0.82287,                 1.1164,             0.00011122,             0.00011122,             0.00011122
                     36,                 1.1226,                 1.0867,                 1.2059,                0.78184,                0.77547,                0.83098,                0.59671,                 1.0484,                0.81925,                 1.1176,             0.00011099,             0.00011099,             0.00011099
                     37,                 1.1092,                 1.0654,                 1.2045,                0.78906,                0.76466,                0.82199,                0.59922,                 1.0495,                0.82327,                  1.117,             0.00011075,             0.00011075,             0.00011075
                     38,                 1.0945,                 1.0767,                 1.1954,                0.81907,                0.71749,                0.82051,                0.59421,                  1.044,                0.83234,                 1.1146,             0.00011052,             0.00011052,             0.00011052
                     39,                 1.1167,                 1.0339,                 1.1744,                0.83739,                0.74625,                0.83571,                0.60717,                 1.0272,                0.80479,                  1.102,             0.00011028,             0.00011028,             0.00011028
                     40,                  1.115,                 1.0712,                 1.1853,                 0.8262,                0.72981,                0.83283,                0.60018,                 1.0196,                0.80785,                 1.1012,             0.00011005,             0.00011005,             0.00011005
                     41,                 1.1031,                 1.0387,                 1.1709,                0.83632,                0.74898,                0.84151,                0.61675,                 1.0245,                 0.8121,                 1.1038,             0.00010981,             0.00010981,             0.00010981
                     42,                  1.064,                 1.0003,                 1.1619,                0.85735,                0.72052,                0.83984,                0.61984,                 1.0043,                0.80318,                 1.0904,             0.00010958,             0.00010958,             0.00010958
                     43,                 1.1105,                 1.0327,                 1.1635,                0.79768,                0.77946,                0.84147,                0.62215,                0.99814,                0.80204,                 1.0928,             0.00010934,             0.00010934,             0.00010934
                     44,                  1.071,                 1.0678,                 1.1829,                0.78871,                0.79344,                0.84048,                0.62393,                0.99731,                 0.7926,                 1.0877,              0.0001091,              0.0001091,              0.0001091
                     45,                 1.0878,                0.98927,                 1.1516,                0.82259,                0.75703,                0.84546,                0.62512,                 1.0042,                0.78734,                 1.0917,             0.00010887,             0.00010887,             0.00010887
                     46,                 1.0809,                 1.0163,                 1.1812,                0.84738,                0.75899,                0.84757,                0.62743,                0.97867,                0.77263,                 1.0761,             0.00010863,             0.00010863,             0.00010863
                     47,                  1.072,                 1.0072,                 1.1742,                0.85004,                0.77402,                0.85504,                0.63288,                0.98828,                0.76884,                 1.0811,              0.0001084,              0.0001084,              0.0001084
                     48,                 1.1012,                 1.0327,                 1.1688,                0.87662,                0.75573,                0.85332,                0.63527,                0.98297,                0.76348,                 1.0777,             0.00010816,             0.00010816,             0.00010816
                     49,                 1.0925,                 1.0211,                 1.1826,                0.88495,                0.75646,                0.84971,                0.64068,                0.98618,                0.76124,                 1.0816,             0.00010793,             0.00010793,             0.00010793
                     50,                 1.0454,                0.97358,                 1.1559,                0.88346,                0.74612,                0.85105,                0.63666,                0.97953,                0.75929,                 1.0756,             0.00010769,             0.00010769,             0.00010769
                     51,                 1.0914,                 0.9694,                  1.166,                0.87039,                 0.7532,                0.85323,                0.63334,                0.97021,                0.75013,                  1.073,             0.00010745,             0.00010745,             0.00010745
                     52,                 1.0783,                0.98052,                 1.1762,                0.88219,                0.74405,                0.84786,                0.63771,                0.97021,                0.74697,                 1.0735,             0.00010722,             0.00010722,             0.00010722
                     53,                 1.0631,                0.96486,                 1.1437,                0.83983,                0.77375,                0.85143,                0.64099,                0.96259,                0.73924,                 1.0693,             0.00010698,             0.00010698,             0.00010698
                     54,                 1.1229,                 1.0317,                 1.1787,                0.85072,                0.77704,                0.86695,                0.64171,                0.96343,                0.73907,                 1.0684,             0.00010675,             0.00010675,             0.00010675
                     55,                 1.0486,                0.96264,                 1.1467,                0.83586,                0.76843,                0.87048,                  0.646,                0.97434,                0.74184,                 1.0698,             0.00010651,             0.00010651,             0.00010651
