                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1119,                0.94146,                 1.1475,                0.80837,                0.72729,                0.79451,                0.59928,                 1.0474,                0.77131,                 1.0708,             0.00011146,             0.00011146,             0.00011146
                     35,                 1.1448,                 1.0043,                 1.1962,                0.80412,                0.71835,                0.81132,                0.60957,                 1.0447,                0.76761,                 1.0692,             0.00011122,             0.00011122,             0.00011122
                     36,                 1.1145,                0.93949,                  1.169,                0.83622,                0.71372,                0.80997,                 0.6053,                 1.0519,                0.75616,                 1.0698,             0.00011099,             0.00011099,             0.00011099
                     37,                 1.1167,                0.95621,                 1.1681,                 0.8399,                0.71103,                0.80373,                0.60699,                 1.0327,                 0.7575,                 1.0672,             0.00011075,             0.00011075,             0.00011075
                     38,                 1.0832,                0.94751,                 1.1606,                0.81508,                 0.7361,                0.79824,                0.59995,                 1.0352,                0.75446,                 1.0689,             0.00011052,             0.00011052,             0.00011052
                     39,                 1.1316,                0.93728,                 1.1503,                 0.8054,                0.74252,                 0.8186,                0.61526,                 1.0425,                0.74585,                 1.0669,             0.00011028,             0.00011028,             0.00011028
                     40,                 1.1216,                 0.9575,                 1.1539,                0.83201,                0.73153,                0.81654,                0.61547,                 1.0354,                0.75659,                 1.0618,             0.00011005,             0.00011005,             0.00011005
                     41,                 1.0713,                 0.8886,                 1.1298,                0.84839,                0.70925,                0.81425,                0.60709,                 1.0291,                0.75172,                 1.0589,             0.00010981,             0.00010981,             0.00010981
                     42,                 1.0511,                0.88566,                 1.1205,                0.83072,                0.75508,                0.82721,                0.61498,                 1.0338,                0.74767,                 1.0554,             0.00010958,             0.00010958,             0.00010958
                     43,                 1.1224,                0.93719,                 1.1345,                  0.788,                0.77389,                0.81623,                0.61573,                 1.0281,                0.74255,                 1.0564,             0.00010934,             0.00010934,             0.00010934
                     44,                 1.0835,                 0.9206,                 1.1487,                0.86657,                0.71541,                0.82863,                0.62842,                 1.0042,                0.73393,                 1.0453,              0.0001091,              0.0001091,              0.0001091
                     45,                 1.1055,                0.88291,                 1.1273,                0.81277,                0.75983,                0.82058,                0.61683,                 1.0026,                0.73662,                 1.0438,             0.00010887,             0.00010887,             0.00010887
                     46,                 1.0734,                0.88824,                 1.1416,                0.80962,                0.76325,                0.81758,                0.63045,                0.99175,                0.71767,                 1.0416,             0.00010863,             0.00010863,             0.00010863
                     47,                 1.0695,                0.89018,                 1.1359,                0.79814,                0.75339,                0.82385,                0.63056,                0.99857,                0.71832,                 1.0454,              0.0001084,              0.0001084,              0.0001084
                     48,                 1.0892,                 0.8956,                 1.1301,                0.86522,                0.74352,                0.82806,                0.62594,                0.98568,                0.71722,                 1.0383,             0.00010816,             0.00010816,             0.00010816
                     49,                 1.0884,                0.92714,                  1.138,                0.87095,                0.73828,                0.83225,                0.63162,                  1.011,                0.71347,                 1.0474,             0.00010793,             0.00010793,             0.00010793
                     50,                 1.0439,                0.84702,                 1.1203,                 0.8483,                0.75047,                0.83604,                0.62955,                0.98516,                0.70911,                 1.0318,             0.00010769,             0.00010769,             0.00010769
                     51,                  1.112,                0.87489,                 1.1433,                0.82048,                0.75519,                0.82698,                0.63549,                 0.9947,                0.70786,                 1.0345,             0.00010745,             0.00010745,             0.00010745
                     52,                 1.0546,                0.86379,                 1.1212,                0.84472,                0.75441,                0.83313,                0.63938,                0.98206,                0.69982,                 1.0331,             0.00010722,             0.00010722,             0.00010722
                     53,                 1.0561,                0.86015,                  1.102,                0.84816,                0.74394,                0.82858,                0.64792,                0.96896,                0.70559,                 1.0297,             0.00010698,             0.00010698,             0.00010698
                     54,                 1.1144,                0.90511,                 1.1421,                0.83714,                0.75119,                0.82915,                0.63558,                0.97398,                0.70219,                 1.0271,             0.00010675,             0.00010675,             0.00010675
                     55,                  1.039,                0.85497,                 1.1155,                0.87115,                0.75054,                0.83508,                0.64613,                0.97983,                 0.7068,                 1.0297,             0.00010651,             0.00010651,             0.00010651
                     56,                 1.0478,                0.83911,                 1.1217,                0.86913,                0.76237,                0.84205,                0.65184,                0.96692,                0.68704,                  1.021,             0.00010628,             0.00010628,             0.00010628
                     57,                 1.0437,                0.85811,                 1.1472,                0.87871,                 0.7392,                0.83496,                0.64586,                0.95583,                0.68073,                 1.0156,             0.00010604,             0.00010604,             0.00010604
                     58,                 1.0426,                0.81216,                 1.1103,                0.88228,                0.73689,                 0.8476,                0.65017,                0.95466,                0.67818,                 1.0155,             0.00010581,             0.00010581,             0.00010581
                     59,                 1.0589,                0.84463,                 1.1177,                0.84018,                0.76721,                0.83618,                0.65305,                0.94189,                0.67735,                  1.012,             0.00010557,             0.00010557,             0.00010557
                     60,                 1.0489,                0.86709,                  1.114,                0.86662,                0.74988,                0.84164,                0.65336,                0.94225,                0.67216,                  1.013,             0.00010533,             0.00010533,             0.00010533
                     61,                 1.0034,                0.83794,                 1.1168,                0.86313,                0.75671,                0.83938,                0.65442,                0.94179,                0.67217,                 1.0122,              0.0001051,              0.0001051,              0.0001051
                     62,                 1.0536,                0.82148,                 1.1083,                 0.8761,                  0.772,                0.84957,                0.65892,                0.94441,                0.67161,                 1.0097,             0.00010486,             0.00010486,             0.00010486
                     63,                0.98983,                0.82986,                 1.0952,                0.89204,                0.73623,                0.83698,                0.65152,                0.92875,                0.65752,                 1.0084,             0.00010463,             0.00010463,             0.00010463
                     64,                 1.0293,                 0.8314,                 1.1023,                0.87991,                0.76413,                 0.8437,                 0.6577,                0.92854,                0.65835,                 1.0044,             0.00010439,             0.00010439,             0.00010439
                     65,                 1.0742,                0.83272,                 1.0906,                0.87159,                0.75715,                0.84518,                0.65162,                0.93272,                 0.6606,                 1.0056,             0.00010416,             0.00010416,             0.00010416
                     66,                 1.0346,                0.83793,                 1.1151,                0.85647,                0.76406,                0.84581,                0.66008,                0.93451,                 0.6651,                 1.0108,             0.00010392,             0.00010392,             0.00010392
                     67,                 1.0341,                0.82031,                  1.104,                 0.8295,                0.78582,                0.84726,                0.66345,                 0.9209,                0.66246,                0.99882,             0.00010368,             0.00010368,             0.00010368
                     68,                0.98979,                0.79989,                 1.1052,                0.86959,                 0.7634,                0.84355,                0.65547,                0.92013,                0.66186,                 1.0029,             0.00010345,             0.00010345,             0.00010345
                     69,                 1.0433,                0.84039,                 1.1067,                0.86999,                0.77519,                0.84749,                0.66031,                0.92872,                0.65183,                 1.0048,             0.00010321,             0.00010321,             0.00010321
                     70,                 0.9848,                0.77148,                 1.0857,                 0.9079,                0.75745,                0.85718,                 0.6614,                0.92858,                0.65461,                 1.0068,             0.00010298,             0.00010298,             0.00010298
                     71,                 1.0287,                0.82647,                 1.0979,                0.86404,                0.78695,                0.85113,                0.66087,                0.92484,                0.65147,                 1.0003,             0.00010274,             0.00010274,             0.00010274
                     72,                0.98982,                0.77874,                 1.0759,                0.88054,                0.77692,                0.85568,                0.66563,                0.92069,                0.64818,                 1.0018,             0.00010251,             0.00010251,             0.00010251
                     73,                0.96816,                0.77342,                 1.0938,                0.87056,                0.78531,                0.85318,                0.67299,                0.91009,                0.65393,                0.99578,             0.00010227,             0.00010227,             0.00010227
                     74,                  0.949,                0.75657,                 1.0855,                 0.8675,                0.79965,                0.85186,                0.67046,                0.91234,                0.63661,                0.99733,             0.00010204,             0.00010204,             0.00010204
                     75,                 1.0064,                0.79728,                 1.0863,                0.88801,                0.77754,                0.85094,                0.67142,                0.90146,                0.63304,                0.99258,              0.0001018,              0.0001018,              0.0001018
                     76,                 1.0124,                0.80106,                 1.1034,                0.86795,                0.78498,                0.85209,                0.67384,                0.90342,                0.63054,                0.98932,             0.00010156,             0.00010156,             0.00010156
                     77,                 1.0078,                0.77618,                 1.0864,                 0.8578,                0.80022,                 0.8572,                 0.6807,                0.89931,                0.63737,                0.98512,             0.00010133,             0.00010133,             0.00010133
                     78,                 1.0153,                0.77809,                  1.073,                0.82812,                0.80634,                0.85177,                0.68281,                0.88496,                0.63439,                0.98077,             0.00010109,             0.00010109,             0.00010109
                     79,                0.98902,                0.78017,                 1.0837,                0.89958,                0.75228,                0.85658,                0.67792,                0.90551,                0.63654,                0.98833,             0.00010086,             0.00010086,             0.00010086
                     80,                0.98515,                0.77388,                 1.0748,                0.87275,                0.79309,                0.86925,                  0.685,                 0.8989,                0.63276,                0.98466,             0.00010062,             0.00010062,             0.00010062
                     81,                0.98285,                0.76462,                 1.0721,                0.82051,                 0.7906,                0.85017,                0.66944,                 0.8823,                0.62762,                 0.9836,             0.00010039,             0.00010039,             0.00010039
