                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4366,                 5.1308,                 2.2096,                0.00264,                0.02894,                0.00206,                0.00136,                 3.6509,                 6.8756,                 3.9184,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.2919,                 5.0136,                 2.0791,                0.00229,                0.02454,                0.00154,                 0.0009,                 3.2489,                  7.154,                 3.6437,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 2.4024,                 4.9595,                 2.1297,                0.00179,                0.02097,                0.00145,                0.00097,                 3.2253,                 7.3458,                 3.5672,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                 2.3294,                 4.7521,                 2.0976,                  0.003,                0.02967,                0.00226,                0.00126,                  3.146,                 7.1546,                 3.3485,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                  2.268,                 4.4452,                 2.0821,                0.00278,                0.03967,                0.00347,                0.00191,                  2.982,                 6.5545,                 3.0137,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                 2.1637,                 4.3881,                 1.9893,                0.00413,                0.12188,                0.01111,                0.00667,                 2.7407,                 5.3971,                 2.6152,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 2.1284,                 4.1019,                 1.9379,                 0.6425,                0.02315,                0.02702,                0.01661,                 2.5553,                 4.6564,                  2.341,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 2.1393,                 4.0638,                 1.9574,                0.51172,                0.04704,                0.06324,                0.03782,                  2.492,                 4.2809,                 2.1986,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                 2.1664,                 3.9924,                 1.9591,                0.49917,                0.06769,                0.07015,                0.04035,                 2.3433,                 3.9979,                 2.0646,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                 2.0296,                 3.7264,                 1.9026,                0.54636,                0.06304,                0.07456,                0.05034,                 2.3596,                 3.9072,                  2.068,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                 2.0944,                 3.7299,                 1.9002,                0.43786,                0.06961,                0.07674,                0.05062,                 2.3496,                 3.7368,                 2.0762,             0.00010148,             0.00010148,             0.00010148
                     12,                 2.1324,                 3.7063,                  1.947,                0.51234,                0.10919,                 0.1112,                0.07769,                 2.2856,                 3.5633,                 2.0539,             0.00011059,             0.00011059,             0.00011059
                     13,                 2.0282,                 3.5535,                 1.8751,                 0.5044,                0.11794,                0.11205,                0.07495,                 2.2763,                 3.4847,                 2.0423,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.9355,                 3.4962,                 1.8335,                0.52582,                  0.112,                0.11614,                 0.0749,                 2.2066,                 3.4302,                 1.9881,             0.00011617,             0.00011617,             0.00011617
                     15,                 1.9618,                  3.417,                  1.836,                0.38176,                0.13134,                0.12032,                0.07709,                 2.1979,                 3.2922,                 1.9649,             0.00011594,             0.00011594,             0.00011594
                     16,                 1.9858,                 3.4118,                 1.8419,                 0.5236,                 0.1042,                0.10397,                0.06804,                 2.1313,                  3.224,                  1.946,              0.0001157,              0.0001157,              0.0001157
                     17,                 1.9926,                 3.3535,                 1.8334,                0.54299,                0.15004,                0.15651,                0.10832,                 2.1057,                 3.0505,                 1.9084,             0.00011547,             0.00011547,             0.00011547
                     18,                 2.0279,                  3.331,                 1.8234,                0.49882,                0.15211,                0.13331,                0.09023,                  2.082,                 3.0585,                 1.8405,             0.00011523,             0.00011523,             0.00011523
                     19,                 1.8544,                  3.186,                 1.7571,                0.45179,                0.16697,                0.16366,                  0.098,                 2.1215,                  3.024,                 1.8442,             0.00011499,             0.00011499,             0.00011499
                     20,                 1.9169,                 3.2429,                 1.7862,                0.45495,                0.17968,                0.16602,                0.10281,                 2.1072,                 2.9731,                 1.8407,             0.00011476,             0.00011476,             0.00011476
                     21,                 1.9814,                 3.1451,                  1.801,                0.51693,                0.18155,                0.19301,                0.12667,                 2.0196,                  2.851,                 1.7907,             0.00011452,             0.00011452,             0.00011452
                     22,                 1.8966,                   3.09,                 1.7274,                0.51031,                0.20696,                0.20138,                0.12951,                 2.0572,                 2.8766,                 1.8167,             0.00011429,             0.00011429,             0.00011429
