                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3771,                 1.6096,                 1.3523,                0.73989,                0.43827,                0.56237,                0.40075,                 1.3349,                 1.3859,                 1.3089,             0.00011146,             0.00011146,             0.00011146
                     35,                 1.3769,                 1.7514,                 1.3888,                0.63376,                0.51243,                0.57648,                0.41022,                 1.3009,                  1.285,                 1.2782,             0.00011122,             0.00011122,             0.00011122
                     36,                  1.354,                 1.6691,                 1.3683,                0.70225,                0.50811,                0.58032,                0.41554,                 1.2741,                 1.2927,                  1.272,             0.00011099,             0.00011099,             0.00011099
                     37,                 1.3213,                 1.6182,                 1.3377,                0.73874,                0.48777,                0.59137,                0.42226,                 1.2697,                 1.2837,                 1.2714,             0.00011075,             0.00011075,             0.00011075
                     38,                 1.3214,                 1.5884,                 1.3468,                0.66962,                0.51879,                0.58186,                0.41502,                 1.2981,                 1.2852,                 1.2876,             0.00011052,             0.00011052,             0.00011052
                     39,                 1.3733,                  1.607,                 1.3373,                0.72217,                0.52294,                0.59332,                0.43581,                 1.2753,                 1.2428,                 1.2698,             0.00011028,             0.00011028,             0.00011028
                     40,                 1.3473,                 1.6268,                 1.3557,                0.71506,                0.52785,                0.60146,                0.44015,                 1.2654,                 1.2365,                 1.2568,             0.00011005,             0.00011005,             0.00011005
                     41,                 1.2774,                 1.4829,                 1.2947,                0.80212,                0.51036,                0.60372,                0.44721,                 1.2531,                 1.2159,                 1.2501,             0.00010981,             0.00010981,             0.00010981
                     42,                 1.2495,                 1.4838,                 1.2939,                0.74819,                0.51884,                0.61001,                0.43378,                 1.2459,                 1.2139,                   1.24,             0.00010958,             0.00010958,             0.00010958
                     43,                 1.3171,                 1.5582,                 1.2886,                0.70254,                0.54826,                0.60517,                0.43622,                  1.253,                 1.2166,                 1.2508,             0.00010934,             0.00010934,             0.00010934
                     44,                 1.3036,                 1.5106,                 1.3349,                0.69251,                0.54345,                0.62366,                0.45628,                 1.2174,                 1.1578,                 1.2391,              0.0001091,              0.0001091,              0.0001091
                     45,                 1.3349,                 1.4733,                 1.2969,                0.81838,                0.51198,                0.63677,                0.46253,                 1.2062,                 1.1664,                 1.2178,             0.00010887,             0.00010887,             0.00010887
                     46,                 1.3124,                 1.4917,                 1.3254,                0.72061,                0.54075,                0.62882,                0.46503,                 1.2041,                 1.1466,                 1.2256,             0.00010863,             0.00010863,             0.00010863
                     47,                 1.2722,                 1.4545,                 1.3012,                0.73913,                 0.5579,                0.63264,                 0.4716,                 1.2246,                  1.181,                 1.2333,              0.0001084,              0.0001084,              0.0001084
                     48,                 1.2726,                 1.4482,                 1.2723,                0.73601,                0.53993,                0.63183,                0.46527,                 1.2351,                 1.1512,                 1.2373,             0.00010816,             0.00010816,             0.00010816
                     49,                 1.3149,                 1.4847,                 1.3093,                0.78216,                0.53231,                0.63723,                0.47621,                  1.197,                 1.1287,                 1.2185,             0.00010793,             0.00010793,             0.00010793
                     50,                 1.2707,                 1.4368,                 1.2986,                0.74588,                0.58323,                0.65101,                0.46832,                 1.2268,                 1.1096,                 1.2298,             0.00010769,             0.00010769,             0.00010769
                     51,                 1.3214,                 1.4241,                 1.3035,                0.73395,                0.57394,                0.64959,                0.46768,                 1.1877,                 1.0934,                 1.2103,             0.00010745,             0.00010745,             0.00010745
                     52,                 1.2852,                 1.4418,                 1.3031,                0.73008,                0.57439,                0.66675,                0.47926,                 1.1823,                 1.1002,                 1.2033,             0.00010722,             0.00010722,             0.00010722
                     53,                 1.2787,                 1.3735,                 1.2734,                 0.7132,                0.56559,                0.65355,                0.47656,                  1.187,                 1.0921,                 1.2086,             0.00010698,             0.00010698,             0.00010698
                     54,                 1.3113,                 1.4321,                 1.2912,                0.80667,                0.56102,                0.66289,                0.48319,                 1.1759,                 1.0787,                 1.1987,             0.00010675,             0.00010675,             0.00010675
                     55,                 1.2453,                 1.4068,                 1.2672,                0.79315,                0.56391,                0.66546,                0.49545,                 1.1559,                 1.0508,                 1.1827,             0.00010651,             0.00010651,             0.00010651
                     56,                 1.2242,                 1.3398,                 1.2493,                0.78443,                0.56037,                0.67242,                0.50437,                 1.1495,                 1.0619,                 1.1775,             0.00010628,             0.00010628,             0.00010628
                     57,                 1.2545,                 1.4199,                 1.3158,                0.79669,                0.55843,                0.66463,                 0.5005,                 1.1502,                 1.0364,                 1.1821,             0.00010604,             0.00010604,             0.00010604
                     58,                 1.2351,                 1.3261,                 1.2567,                0.79891,                0.56048,                0.68243,                0.50389,                 1.1383,                 1.0173,                 1.1725,             0.00010581,             0.00010581,             0.00010581
                     59,                 1.2514,                 1.3139,                 1.2646,                0.75757,                0.58924,                   0.69,                0.50181,                 1.1408,                 1.0081,                 1.1763,             0.00010557,             0.00010557,             0.00010557
                     60,                 1.2439,                 1.3753,                 1.2745,                0.73947,                0.62155,                0.69095,                0.51157,                 1.1159,                 1.0198,                  1.162,             0.00010533,             0.00010533,             0.00010533
                     61,                 1.2059,                 1.3525,                  1.279,                0.80621,                0.58933,                0.69924,                 0.5067,                 1.1373,                 1.0148,                 1.1696,              0.0001051,              0.0001051,              0.0001051
                     62,                 1.2724,                 1.3215,                 1.2577,                0.77572,                0.60671,                0.69207,                0.51336,                 1.1245,                 1.0042,                 1.1568,             0.00010486,             0.00010486,             0.00010486
                     63,                 1.1766,                 1.2911,                 1.2344,                0.80505,                0.58858,                0.69868,                0.51887,                 1.0935,                0.99731,                 1.1484,             0.00010463,             0.00010463,             0.00010463
                     64,                   1.23,                 1.3106,                 1.2437,                0.70021,                0.62134,                0.70402,                 0.5182,                 1.1173,                0.97677,                 1.1666,             0.00010439,             0.00010439,             0.00010439
                     65,                 1.2598,                 1.3137,                  1.234,                0.67955,                0.65589,                 0.7014,                0.51398,                 1.1205,                0.97041,                 1.1669,             0.00010416,             0.00010416,             0.00010416
                     66,                 1.2075,                 1.3196,                 1.2546,                0.79396,                0.61539,                0.71399,                 0.5262,                 1.1096,                0.96358,                 1.1569,             0.00010392,             0.00010392,             0.00010392
                     67,                 1.2516,                  1.324,                 1.2725,                0.74247,                0.63756,                0.70841,                0.52505,                 1.1016,                0.95748,                 1.1532,             0.00010368,             0.00010368,             0.00010368
                     68,                 1.1886,                  1.277,                 1.2476,                0.68211,                0.66148,                0.72307,                0.52934,                  1.107,                0.96608,                 1.1427,             0.00010345,             0.00010345,             0.00010345
                     69,                 1.2563,                 1.2954,                 1.2561,                0.74377,                0.64828,                0.72604,                0.53808,                 1.0813,                0.96131,                 1.1288,             0.00010321,             0.00010321,             0.00010321
                     70,                 1.1433,                 1.2376,                 1.2238,                0.83532,                0.60984,                0.70615,                0.53041,                 1.1073,                0.95539,                 1.1432,             0.00010298,             0.00010298,             0.00010298
                     71,                 1.2146,                 1.2654,                 1.2354,                0.86963,                0.60146,                0.72308,                0.52821,                 1.1201,                0.95653,                 1.1592,             0.00010274,             0.00010274,             0.00010274
                     72,                   1.18,                 1.2166,                 1.2135,                0.77624,                0.66244,                0.74181,                0.54324,                 1.0783,                 0.9416,                 1.1242,             0.00010251,             0.00010251,             0.00010251
                     73,                 1.1505,                 1.2059,                 1.2263,                0.70909,                 0.6809,                0.72482,                0.53099,                 1.1035,                0.93465,                 1.1484,             0.00010227,             0.00010227,             0.00010227
                     74,                 1.1482,                 1.1865,                 1.2224,                0.79532,                0.60245,                0.72828,                0.54111,                 1.0989,                0.93304,                 1.1393,             0.00010204,             0.00010204,             0.00010204
                     75,                 1.1895,                  1.243,                 1.2121,                0.76102,                0.67201,                0.73626,                 0.5449,                 1.0913,                0.92309,                 1.1345,              0.0001018,              0.0001018,              0.0001018
                     76,                 1.1898,                 1.2276,                  1.239,                0.68683,                0.67121,                0.73555,                0.55139,                 1.0676,                0.91722,                 1.1265,             0.00010156,             0.00010156,             0.00010156
                     77,                 1.2051,                 1.2133,                 1.2353,                0.78972,                0.64652,                0.75105,                0.53953,                 1.0641,                0.89903,                 1.1262,             0.00010133,             0.00010133,             0.00010133
                     78,                 1.1688,                 1.1959,                 1.1883,                0.82205,                 0.6295,                0.74086,                 0.5575,                 1.0617,                0.91064,                 1.1178,             0.00010109,             0.00010109,             0.00010109
                     79,                 1.1585,                 1.2087,                  1.204,                0.83818,                0.62063,                0.73703,                0.54117,                 1.0728,                0.92895,                 1.1271,             0.00010086,             0.00010086,             0.00010086
                     80,                 1.1669,                  1.168,                 1.2121,                0.84498,                0.62209,                0.74834,                0.57533,                 1.0417,                0.89156,                  1.111,             0.00010062,             0.00010062,             0.00010062
                     81,                 1.1574,                 1.1963,                 1.2085,                0.81556,                0.66591,                0.73777,                0.56152,                 1.0664,                0.89914,                 1.1246,             0.00010039,             0.00010039,             0.00010039
                     82,                 1.1829,                 1.1762,                 1.2079,                0.82606,                0.63047,                0.74095,                0.55229,                 1.0699,                0.89115,                 1.1313,             0.00010015,             0.00010015,             0.00010015
                     83,                 1.1667,                 1.1712,                 1.2048,                0.83959,                0.62859,                 0.7389,                0.55647,                 1.0585,                0.90732,                 1.1215,             9.9915e-05,             9.9915e-05,             9.9915e-05
                     84,                 1.1742,                 1.1732,                 1.2172,                0.85326,                0.61874,                0.72637,                0.55812,                 1.0511,                0.90746,                 1.1242,             9.9679e-05,             9.9679e-05,             9.9679e-05
                     85,                 1.1467,                 1.2215,                 1.2054,                0.85457,                0.63948,                0.73945,                  0.564,                 1.0461,                 0.9245,                 1.1139,             9.9444e-05,             9.9444e-05,             9.9444e-05
                     86,                 1.1554,                 1.1587,                  1.215,                0.75821,                0.67918,                0.75439,                0.56576,                 1.0376,                0.89607,                 1.1106,             9.9208e-05,             9.9208e-05,             9.9208e-05
                     87,                 1.1088,                 1.1454,                 1.1906,                0.79184,                0.67834,                0.76077,                0.58295,                 1.0217,                0.85804,                 1.1019,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     88,                 1.1507,                 1.1596,                 1.2125,                0.83551,                0.64904,                0.74676,                0.57394,                 1.0399,                0.86638,                 1.1101,             9.8737e-05,             9.8737e-05,             9.8737e-05
                     89,                 1.1395,                 1.1204,                 1.1723,                0.75634,                0.69195,                0.76552,                0.57967,                 1.0246,                 0.8568,                  1.108,             9.8501e-05,             9.8501e-05,             9.8501e-05
                     90,                 1.1924,                 1.1847,                 1.2088,                0.76713,                0.70182,                0.76146,                 0.5672,                 1.0386,                 0.8691,                 1.1103,             9.8265e-05,             9.8265e-05,             9.8265e-05
                     91,                 1.1428,                 1.1635,                 1.2115,                0.78726,                0.67376,                0.77192,                0.57832,                 1.0226,                0.85406,                 1.1076,              9.803e-05,              9.803e-05,              9.803e-05
                     92,                 1.0998,                   1.08,                 1.1991,                0.73686,                0.71392,                0.77019,                0.59115,                 1.0264,                0.86111,                 1.1066,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     93,                 1.0979,                 1.1239,                 1.2183,                0.77786,                0.67701,                0.77015,                0.58907,                 1.0147,                0.82955,                 1.0979,             9.7559e-05,             9.7559e-05,             9.7559e-05
                     94,                 1.1132,                 1.0934,                  1.188,                0.77254,                0.68538,                0.77441,                0.57642,                  1.033,                0.83389,                 1.1154,             9.7323e-05,             9.7323e-05,             9.7323e-05
                     95,                 1.0785,                 1.0704,                 1.2015,                0.80986,                0.69243,                0.77869,                0.59286,                 1.0044,                0.82597,                 1.0959,             9.7087e-05,             9.7087e-05,             9.7087e-05
                     96,                 1.1236,                 1.1267,                 1.2055,                0.81743,                0.67692,                0.77411,                0.58754,                 1.0257,                0.85198,                  1.106,             9.6852e-05,             9.6852e-05,             9.6852e-05
