                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3967,                 1.7977,                 1.3667,                0.56159,                0.45129,                0.50486,                0.32122,                 1.4465,                 1.5855,                 1.3627,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.3611,                  1.689,                 1.3416,                0.58589,                0.52867,                0.59036,                 0.4028,                 1.3077,                 1.3514,                 1.2661,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 1.3491,                 1.6046,                 1.2934,                0.61968,                 0.5608,                0.61151,                0.41375,                 1.2786,                 1.2812,                 1.2513,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                 1.3771,                 1.6366,                 1.3333,                0.63116,                0.59024,                0.63866,                0.43941,                 1.2613,                 1.2231,                  1.241,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                 1.2991,                 1.4476,                 1.3044,                0.65274,                0.60366,                0.64846,                0.44781,                 1.2446,                 1.2037,                 1.2295,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                  1.275,                 1.4978,                 1.2873,                0.65492,                0.61751,                0.65648,                0.45593,                 1.2342,                 1.1833,                 1.2261,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 1.2812,                 1.3181,                 1.2938,                0.71428,                0.59795,                 0.6702,                0.46018,                 1.2039,                 1.1618,                 1.2038,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 1.2799,                 1.3331,                 1.2889,                0.67918,                0.63396,                0.68007,                0.46913,                 1.2067,                 1.1186,                 1.2116,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                 1.2326,                 1.2651,                 1.2535,                0.69318,                0.60963,                0.68981,                0.47801,                 1.1964,                 1.0849,                 1.2081,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                  1.253,                 1.3226,                 1.2962,                0.69989,                0.64476,                0.70546,                0.48712,                 1.2039,                 1.0611,                 1.2065,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                 1.2078,                 1.2428,                 1.2498,                0.71836,                0.65303,                0.71066,                0.50211,                 1.1947,                   1.03,                 1.1985,             0.00010148,             0.00010148,             0.00010148
                     12,                 1.2602,                 1.2654,                 1.2966,                0.70122,                0.64778,                0.70506,                0.49931,                 1.1752,                 1.0181,                 1.1883,             0.00011059,             0.00011059,             0.00011059
                     13,                 1.1889,                 1.2003,                 1.2435,                0.75676,                0.66242,                0.72546,                0.51175,                 1.1877,                0.99675,                 1.1982,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.1905,                 1.2086,                 1.2681,                0.74609,                0.67659,                0.74276,                0.52531,                 1.1726,                0.97135,                 1.1896,             0.00011617,             0.00011617,             0.00011617
                     15,                 1.1673,                 1.1676,                 1.2482,                0.73491,                0.68325,                0.74155,                  0.527,                 1.1642,                0.96531,                 1.1796,             0.00011594,             0.00011594,             0.00011594
                     16,                 1.1959,                   1.15,                 1.2475,                0.76161,                 0.6714,                0.74052,                0.52701,                 1.1638,                0.95784,                 1.1813,              0.0001157,              0.0001157,              0.0001157
                     17,                 1.2042,                 1.1637,                 1.2431,                0.76374,                0.67929,                 0.7526,                0.54069,                  1.145,                0.95133,                 1.1761,             0.00011547,             0.00011547,             0.00011547
                     18,                 1.2364,                 1.1268,                 1.2291,                 0.7681,                0.69601,                0.76762,                 0.5449,                 1.1516,                0.95649,                 1.1721,             0.00011523,             0.00011523,             0.00011523
                     19,                 1.1575,                 1.0886,                 1.2294,                0.75226,                0.71149,                0.77274,                0.54273,                 1.1373,                0.93212,                 1.1625,             0.00011499,             0.00011499,             0.00011499
                     20,                  1.168,                 1.1259,                 1.2288,                0.73678,                0.73071,                0.77875,                0.55098,                 1.1068,                0.90535,                 1.1433,             0.00011476,             0.00011476,             0.00011476
                     21,                 1.1983,                 1.0695,                 1.2237,                0.71995,                0.73689,                0.80804,                0.56837,                 1.0993,                 0.8906,                 1.1435,             0.00011452,             0.00011452,             0.00011452
                     22,                 1.1773,                 1.0439,                 1.2081,                0.75176,                0.71531,                0.79398,                0.55871,                 1.1016,                0.88605,                 1.1484,             0.00011429,             0.00011429,             0.00011429
                     23,                 1.1637,                 1.0737,                 1.2452,                0.69942,                0.76044,                0.79633,                 0.5649,                 1.0934,                0.88688,                 1.1439,             0.00011405,             0.00011405,             0.00011405
                     24,                 1.1517,                 1.0729,                 1.2098,                0.81491,                0.68115,                0.80807,                0.56633,                 1.0843,                0.86877,                 1.1448,             0.00011382,             0.00011382,             0.00011382
                     25,                 1.1241,                 1.0093,                 1.2047,                0.86259,                0.65018,                0.80027,                0.57005,                  1.077,                0.86742,                   1.14,             0.00011358,             0.00011358,             0.00011358
                     26,                 1.1615,                 1.0592,                 1.2151,                0.86458,                0.67476,                0.80618,                0.57315,                 1.0703,                0.85255,                 1.1313,             0.00011335,             0.00011335,             0.00011335
                     27,                 1.1234,                 1.0354,                 1.2045,                0.84417,                0.68113,                0.80008,                0.57946,                 1.0753,                0.83835,                 1.1319,             0.00011311,             0.00011311,             0.00011311
                     28,                 1.1263,                 1.0046,                  1.198,                0.71623,                0.77685,                0.82771,                0.59747,                  1.046,                0.82218,                 1.1198,             0.00011287,             0.00011287,             0.00011287
                     29,                  1.211,                 1.0621,                 1.2062,                0.77944,                 0.7396,                0.81522,                 0.5912,                 1.0481,                 0.8223,                 1.1201,             0.00011264,             0.00011264,             0.00011264
                     30,                 1.1121,                0.97719,                 1.1832,                0.78846,                0.75936,                0.83298,                0.60984,                 1.0451,                  0.811,                 1.1196,              0.0001124,              0.0001124,              0.0001124
                     31,                 1.0936,                0.99381,                 1.1875,                0.75672,                0.79382,                0.83025,                0.60024,                 1.0384,                0.80992,                  1.113,             0.00011217,             0.00011217,             0.00011217
                     32,                 1.0981,                 1.0047,                 1.1618,                0.84719,                0.72738,                0.83295,                 0.6136,                 1.0358,                0.79635,                 1.1117,             0.00011193,             0.00011193,             0.00011193
                     33,                 1.1425,                 1.0307,                 1.2172,                0.82743,                0.75752,                0.83229,                0.60648,                 1.0267,                0.79414,                 1.1081,              0.0001117,              0.0001117,              0.0001117
                     34,                 1.0929,                0.97284,                  1.174,                0.82315,                0.75511,                0.83908,                  0.619,                  1.022,                0.77912,                 1.1083,             0.00011146,             0.00011146,             0.00011146
                     35,                  1.115,                 1.0215,                 1.2199,                0.84315,                0.74023,                 0.8409,                0.61665,                 1.0174,                0.77739,                 1.1054,             0.00011122,             0.00011122,             0.00011122
                     36,                  1.085,                0.95248,                 1.1829,                0.79274,                0.77853,                0.84599,                 0.6249,                 1.0181,                0.77342,                 1.1071,             0.00011099,             0.00011099,             0.00011099
                     37,                 1.0844,                0.97098,                 1.1896,                0.75982,                0.79688,                0.84733,                0.63183,                 1.0175,                0.76985,                 1.1047,             0.00011075,             0.00011075,             0.00011075
                     38,                 1.0811,                0.96419,                 1.1849,                0.79733,                0.78155,                0.84582,                0.62601,                  1.011,                0.76395,                 1.0962,             0.00011052,             0.00011052,             0.00011052
                     39,                 1.0905,                0.93834,                 1.1624,                0.81663,                0.78164,                0.85269,                0.63188,                 1.0065,                0.76133,                   1.09,             0.00011028,             0.00011028,             0.00011028
                     40,                 1.0814,                0.97031,                 1.1691,                0.86888,                0.74458,                  0.855,                0.63275,                0.99777,                0.76124,                 1.0869,             0.00011005,             0.00011005,             0.00011005
                     41,                 1.0717,                0.92837,                  1.158,                0.82364,                0.76281,                0.85146,                0.63742,                0.99097,                0.75664,                 1.0855,             0.00010981,             0.00010981,             0.00010981
                     42,                 1.0343,                0.90045,                 1.1407,                0.81199,                0.77253,                0.85076,                0.63577,                0.97457,                0.75706,                 1.0764,             0.00010958,             0.00010958,             0.00010958
                     43,                 1.0875,                0.94542,                   1.14,                0.82323,                0.78138,                0.85577,                 0.6489,                0.97253,                 0.7484,                 1.0753,             0.00010934,             0.00010934,             0.00010934
                     44,                 1.0476,                 0.9338,                 1.1652,                0.81467,                0.77767,                 0.8582,                0.64947,                0.96848,                 0.7454,                 1.0704,              0.0001091,              0.0001091,              0.0001091
                     45,                 1.0748,                 0.8991,                 1.1365,                0.84445,                 0.7884,                0.86602,                0.65621,                0.97077,                 0.7349,                 1.0749,             0.00010887,             0.00010887,             0.00010887
                     46,                 1.0491,                0.92294,                 1.1665,                0.87287,                0.77119,                0.86481,                0.66191,                  0.962,                  0.731,                  1.068,             0.00010863,             0.00010863,             0.00010863
                     47,                 1.0453,                0.90411,                  1.154,                0.86705,                0.79117,                0.87302,                 0.6594,                0.94918,                0.72188,                 1.0626,              0.0001084,              0.0001084,              0.0001084
                     48,                 1.0652,                0.91384,                 1.1437,                0.84631,                0.79269,                0.87219,                0.65702,                0.95716,                0.71709,                 1.0714,             0.00010816,             0.00010816,             0.00010816
                     49,                 1.0756,                0.93463,                 1.1643,                0.81921,                0.81057,                0.86326,                0.66011,                0.95921,                0.70846,                  1.069,             0.00010793,             0.00010793,             0.00010793
                     50,                 1.0201,                0.87601,                 1.1414,                 0.8425,                0.80656,                0.87062,                0.66196,                0.93307,                0.70694,                 1.0572,             0.00010769,             0.00010769,             0.00010769
                     51,                 1.0618,                0.88552,                 1.1496,                0.85292,                0.80192,                0.86465,                0.65264,                0.94194,                0.70958,                 1.0611,             0.00010745,             0.00010745,             0.00010745
                     52,                 1.0476,                0.89878,                  1.154,                0.83251,                0.81055,                0.86618,                0.65261,                0.94422,                0.71029,                  1.061,             0.00010722,             0.00010722,             0.00010722
                     53,                 1.0218,                0.87739,                 1.1253,                 0.8685,                0.76053,                0.86237,                0.65604,                0.94187,                 0.7037,                 1.0613,             0.00010698,             0.00010698,             0.00010698
                     54,                 1.0775,                0.91125,                 1.1475,                0.88676,                0.79375,                0.88228,                0.66399,                0.94669,                0.70973,                   1.06,             0.00010675,             0.00010675,             0.00010675
                     55,                 1.0217,                0.86537,                 1.1302,                0.83395,                0.81742,                0.87787,                0.65872,                0.93436,                0.70483,                 1.0528,             0.00010651,             0.00010651,             0.00010651
                     56,                 1.0183,                0.86121,                 1.1346,                 0.8402,                0.81677,                 0.8745,                0.66056,                0.94101,                0.69064,                 1.0553,             0.00010628,             0.00010628,             0.00010628
                     57,                 1.0266,                0.88508,                 1.1674,                0.83214,                0.80479,                0.88033,                0.66885,                0.93601,                0.69014,                 1.0507,             0.00010604,             0.00010604,             0.00010604
                     58,                 1.0411,                0.84199,                  1.135,                0.86762,                0.80199,                 0.8785,                0.66872,                0.93478,                0.68777,                  1.052,             0.00010581,             0.00010581,             0.00010581
                     59,                 1.0161,                0.84765,                 1.1215,                0.83921,                0.82057,                0.88116,                 0.6758,                0.91646,                0.68538,                 1.0429,             0.00010557,             0.00010557,             0.00010557
                     60,                 1.0268,                0.88094,                 1.1373,                0.86114,                0.80815,                0.88544,                0.66826,                0.93045,                0.68257,                  1.055,             0.00010533,             0.00010533,             0.00010533
                     61,                 1.0132,                0.85289,                 1.1491,                0.83511,                0.80709,                0.87786,                0.67271,                 0.9209,                0.68257,                 1.0469,              0.0001051,              0.0001051,              0.0001051
                     62,                 1.0445,                0.85256,                 1.1263,                0.85986,                0.81327,                0.88693,                0.67694,                0.90755,                0.67925,                 1.0387,             0.00010486,             0.00010486,             0.00010486
                     63,                0.97117,                0.83732,                 1.1154,                0.81748,                0.84551,                0.89067,                0.68252,                 0.9099,                 0.6733,                 1.0383,             0.00010463,             0.00010463,             0.00010463
                     64,                  1.038,                0.85314,                 1.1238,                0.88286,                  0.779,                0.88845,                0.67238,                0.91407,                0.67111,                 1.0418,             0.00010439,             0.00010439,             0.00010439
                     65,                 1.0465,                0.84471,                 1.1109,                0.78474,                0.85794,                0.89169,                0.67108,                 0.9092,                0.67559,                 1.0355,             0.00010416,             0.00010416,             0.00010416
                     66,                0.99632,                0.84298,                 1.1271,                0.84171,                0.83592,                0.89438,                0.67669,                0.91273,                0.68231,                 1.0379,             0.00010392,             0.00010392,             0.00010392
                     67,                 1.0112,                0.84569,                 1.1257,                0.85754,                0.81967,                0.89272,                0.67975,                0.89875,                0.68143,                 1.0302,             0.00010368,             0.00010368,             0.00010368
                     68,                0.99769,                0.82316,                 1.1402,                0.86566,                0.82043,                0.89425,                0.68543,                0.88629,                0.66474,                 1.0248,             0.00010345,             0.00010345,             0.00010345
                     69,                 1.0413,                0.85723,                 1.1264,                0.87428,                 0.8172,                0.89446,                0.69083,                0.87962,                0.65701,                 1.0251,             0.00010321,             0.00010321,             0.00010321
                     70,                0.96411,                0.81071,                 1.1107,                0.87955,                0.81734,                 0.8928,                0.68729,                0.88014,                0.65926,                 1.0223,             0.00010298,             0.00010298,             0.00010298
                     71,                0.99751,                0.82222,                  1.119,                0.87505,                0.81219,                0.89368,                0.68046,                0.88207,                0.66706,                 1.0227,             0.00010274,             0.00010274,             0.00010274
                     72,                0.98499,                0.80597,                 1.1079,                 0.8747,                0.84142,                0.89909,                0.69401,                 0.8845,                0.65566,                 1.0236,             0.00010251,             0.00010251,             0.00010251
                     73,                0.97348,                0.81932,                 1.1168,                0.89137,                0.82616,                0.89345,                0.68786,                0.87537,                0.65243,                 1.0189,             0.00010227,             0.00010227,             0.00010227
                     74,                0.94702,                0.78781,                 1.1044,                0.89564,                0.81826,                0.89169,                0.68875,                0.88198,                0.64655,                 1.0235,             0.00010204,             0.00010204,             0.00010204
                     75,                0.99451,                 0.8327,                 1.1099,                 0.8425,                0.84846,                0.89447,                0.69633,                 0.8755,                0.63973,                 1.0177,              0.0001018,              0.0001018,              0.0001018
                     76,                0.98492,                0.82197,                 1.1186,                 0.8505,                0.84713,                 0.8989,                0.69973,                0.87828,                0.63535,                 1.0206,             0.00010156,             0.00010156,             0.00010156
                     77,                0.97765,                0.78121,                  1.104,                0.88489,                0.82877,                0.89481,                0.69787,                0.86306,                 0.6348,                 1.0128,             0.00010133,             0.00010133,             0.00010133
                     78,                 1.0041,                0.79843,                 1.0882,                0.85834,                0.84883,                0.89862,                 0.7001,                0.86404,                  0.632,                 1.0111,             0.00010109,             0.00010109,             0.00010109
                     79,                0.98675,                0.80294,                 1.1041,                0.83646,                0.85889,                0.90107,                0.69313,                0.86487,                0.64351,                 1.0108,             0.00010086,             0.00010086,             0.00010086
                     80,                0.97447,                0.80262,                 1.0994,                0.82973,                0.86271,                0.90036,                0.68657,                0.86276,                0.64416,                 1.0115,             0.00010062,             0.00010062,             0.00010062
                     81,                0.98509,                0.79786,                 1.1043,                0.90309,                 0.8031,                 0.8929,                0.69427,                0.85786,                  0.636,                 1.0129,             0.00010039,             0.00010039,             0.00010039
                     82,                0.97479,                0.80806,                 1.0995,                0.80303,                0.86898,                0.90154,                0.69677,                0.85187,                0.63018,                 1.0099,             0.00010015,             0.00010015,             0.00010015
                     83,                0.97038,                0.79907,                 1.0991,                0.86713,                0.83994,                0.90534,                0.69629,                0.85135,                 0.6341,                 1.0113,             9.9915e-05,             9.9915e-05,             9.9915e-05
                     84,                0.94948,                0.76711,                 1.0906,                0.85761,                0.84874,                0.90786,                0.70478,                0.83852,                0.63408,                 1.0065,             9.9679e-05,             9.9679e-05,             9.9679e-05
