                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4198,                 1.9888,                 1.3803,                0.52969,                0.23171,                0.25559,                0.15244,                 2.1459,                 2.7444,                 1.8329,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.4237,                 1.8593,                 1.3735,                0.59895,                0.31159,                0.36034,                0.23051,                 1.7779,                 2.0988,                 1.5547,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 1.4279,                 1.8226,                 1.3407,                0.64165,                0.35955,                0.43743,                0.28572,                 1.6006,                 1.7731,                  1.423,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                 1.4574,                 1.8149,                 1.3651,                0.56472,                0.42477,                0.49025,                0.33587,                 1.4521,                 1.5333,                 1.3371,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                 1.3214,                 1.5449,                 1.3004,                0.55676,                0.48145,                0.53494,                0.37074,                 1.3509,                 1.3792,                 1.2808,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                 1.3061,                  1.601,                 1.2951,                0.71976,                0.45043,                0.57467,                0.39755,                 1.3005,                 1.2888,                 1.2415,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 1.3003,                 1.4565,                 1.2912,                0.65857,                0.51256,                0.57121,                0.40133,                 1.2735,                 1.2398,                 1.2249,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 1.2779,                  1.426,                  1.281,                0.66518,                0.50248,                 0.5789,                 0.4171,                 1.2445,                 1.2204,                 1.2108,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                 1.2408,                 1.3575,                 1.2351,                0.67779,                0.52485,                0.58721,                0.42328,                 1.2285,                 1.1919,                 1.1909,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                 1.2573,                 1.4397,                 1.2714,                0.71906,                0.52377,                0.58762,                0.43183,                 1.2225,                 1.1939,                 1.1845,             9.2335e-05,             9.2335e-05,             9.2335e-05
                     11,                   1.24,                  1.352,                  1.241,                0.67663,                0.56011,                0.60391,                0.44411,                 1.1998,                 1.1439,                 1.1806,             0.00010148,             0.00010148,             0.00010148
                     12,                 1.2909,                 1.4019,                 1.2818,                0.64236,                0.57556,                 0.6476,                0.45868,                 1.2218,                 1.1396,                 1.1787,             0.00011059,             0.00011059,             0.00011059
                     13,                 1.2477,                 1.3182,                 1.2496,                0.69441,                0.55135,                0.62818,                0.45877,                 1.1878,                 1.1283,                 1.1668,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.2225,                 1.3405,                 1.2646,                0.68251,                0.54254,                0.62055,                0.45511,                 1.1819,                 1.1136,                 1.1651,             0.00011617,             0.00011617,             0.00011617
                     15,                 1.1777,                 1.2977,                 1.2312,                0.71977,                 0.5698,                0.65249,                0.47457,                 1.1762,                 1.0767,                 1.1655,             0.00011594,             0.00011594,             0.00011594
                     16,                  1.216,                 1.2624,                 1.2359,                 0.7534,                0.55118,                0.63436,                0.46658,                 1.1741,                 1.0556,                 1.1565,              0.0001157,              0.0001157,              0.0001157
                     17,                 1.2439,                 1.3141,                 1.2445,                0.79665,                0.54878,                0.63772,                 0.4726,                 1.1569,                 1.0534,                 1.1483,             0.00011547,             0.00011547,             0.00011547
                     18,                 1.2781,                  1.278,                 1.2378,                0.70538,                0.58836,                0.65835,                0.48259,                 1.1528,                 1.0427,                 1.1453,             0.00011523,             0.00011523,             0.00011523
                     19,                 1.1844,                 1.2164,                 1.2312,                0.76231,                0.57771,                0.66705,                0.48757,                 1.1668,                 1.0291,                 1.1511,             0.00011499,             0.00011499,             0.00011499
                     20,                   1.22,                 1.2683,                 1.2399,                0.74206,                0.57689,                0.65427,                0.47795,                 1.1372,                 1.0125,                 1.1414,             0.00011476,             0.00011476,             0.00011476
                     21,                 1.2452,                 1.1989,                 1.2336,                0.74612,                0.55437,                0.64938,                0.48091,                  1.157,                 1.0281,                 1.1412,             0.00011452,             0.00011452,             0.00011452
                     22,                 1.2159,                 1.2085,                 1.2179,                0.73461,                0.57208,                0.65891,                0.50163,                 1.1193,                 0.9911,                 1.1302,             0.00011429,             0.00011429,             0.00011429
                     23,                 1.1689,                 1.2061,                 1.2288,                0.73499,                0.57297,                0.67427,                 0.5003,                 1.1269,                 1.0055,                 1.1308,             0.00011405,             0.00011405,             0.00011405
                     24,                 1.2077,                 1.2318,                 1.2182,                0.69305,                0.61896,                0.67197,                0.50038,                 1.1315,                0.98023,                 1.1326,             0.00011382,             0.00011382,             0.00011382
                     25,                 1.1807,                 1.1743,                 1.2159,                0.71043,                0.63394,                0.68051,                0.51343,                 1.1121,                 0.9783,                 1.1194,             0.00011358,             0.00011358,             0.00011358
                     26,                 1.2121,                 1.2118,                 1.2135,                0.74514,                0.61396,                0.69171,                0.52079,                 1.1077,                0.98437,                 1.1186,             0.00011335,             0.00011335,             0.00011335
                     27,                 1.1777,                 1.1781,                 1.2095,                0.71804,                0.62933,                0.68679,                0.51738,                 1.1041,                0.98041,                 1.1179,             0.00011311,             0.00011311,             0.00011311
                     28,                 1.1852,                 1.1713,                 1.2127,                0.70208,                0.65199,                0.69303,                0.53028,                 1.0875,                0.94455,                  1.109,             0.00011287,             0.00011287,             0.00011287
                     29,                 1.2841,                 1.2501,                 1.2211,                0.79717,                0.60211,                0.69087,                0.52878,                 1.0899,                0.94004,                 1.1109,             0.00011264,             0.00011264,             0.00011264
                     30,                 1.1644,                 1.1246,                 1.1882,                0.73359,                 0.6373,                 0.6881,                0.52726,                 1.0908,                0.92811,                 1.1124,              0.0001124,              0.0001124,              0.0001124
                     31,                 1.1437,                 1.1403,                  1.195,                0.78639,                0.61835,                0.70173,                0.53404,                 1.0726,                0.94046,                 1.1026,             0.00011217,             0.00011217,             0.00011217
                     32,                  1.156,                 1.1739,                 1.1777,                0.78864,                0.63251,                0.70797,                0.54264,                 1.0719,                0.92311,                  1.102,             0.00011193,             0.00011193,             0.00011193
                     33,                 1.1838,                 1.1878,                 1.2284,                0.81377,                0.59939,                0.70306,                0.53748,                 1.0752,                0.91169,                 1.0998,              0.0001117,              0.0001117,              0.0001117
                     34,                 1.1429,                 1.1093,                 1.1807,                0.77135,                0.63564,                0.70811,                 0.5412,                 1.0786,                0.89635,                 1.1044,             0.00011146,             0.00011146,             0.00011146
                     35,                 1.1606,                 1.1838,                 1.2178,                0.68526,                0.67328,                0.71167,                0.54527,                  1.084,                0.89656,                 1.1049,             0.00011122,             0.00011122,             0.00011122
                     36,                 1.1269,                 1.1087,                 1.1809,                0.75237,                 0.6716,                0.72493,                0.55376,                 1.0854,                0.90646,                  1.104,             0.00011099,             0.00011099,             0.00011099
                     37,                 1.1248,                  1.099,                 1.1794,                0.74239,                0.64739,                0.71667,                0.55339,                 1.0701,                0.90053,                 1.0997,             0.00011075,             0.00011075,             0.00011075
                     38,                 1.1201,                 1.1036,                 1.1897,                0.73803,                0.66968,                0.71405,                0.54334,                 1.0593,                0.88765,                 1.0857,             0.00011052,             0.00011052,             0.00011052
                     39,                 1.1691,                 1.1062,                 1.1759,                0.79905,                0.63406,                0.71987,                0.55148,                 1.0616,                0.87942,                 1.0855,             0.00011028,             0.00011028,             0.00011028
                     40,                 1.1515,                 1.1432,                 1.1815,                0.73331,                0.68695,                0.72366,                 0.5588,                 1.0516,                0.87506,                 1.0809,             0.00011005,             0.00011005,             0.00011005
                     41,                 1.0951,                 1.0548,                 1.1485,                0.74848,                0.67014,                0.72808,                0.55498,                 1.0405,                0.87218,                  1.077,             0.00010981,             0.00010981,             0.00010981
                     42,                 1.0932,                 1.0432,                 1.1585,                0.72972,                0.67296,                0.71517,                0.55535,                 1.0667,                0.89479,                 1.0851,             0.00010958,             0.00010958,             0.00010958
                     43,                 1.1451,                 1.1024,                 1.1593,                0.78087,                0.64534,                 0.7234,                0.55861,                 1.0465,                0.88577,                 1.0765,             0.00010934,             0.00010934,             0.00010934
                     44,                 1.1289,                  1.075,                 1.1841,                0.67899,                0.68017,                0.71752,                0.55653,                 1.0412,                0.88178,                   1.08,              0.0001091,              0.0001091,              0.0001091
                     45,                 1.1639,                 1.0678,                 1.1603,                0.71671,                0.69476,                0.73212,                0.56555,                 1.0549,                0.86032,                 1.0722,             0.00010887,             0.00010887,             0.00010887
                     46,                 1.1095,                 1.0639,                 1.1665,                 0.7376,                0.67848,                0.73248,                0.56769,                 1.0607,                0.86613,                  1.082,             0.00010863,             0.00010863,             0.00010863
                     47,                 1.1039,                 1.0764,                 1.1683,                0.77018,                 0.6671,                0.73252,                0.56743,                   1.04,                0.84458,                 1.0698,              0.0001084,              0.0001084,              0.0001084
                     48,                 1.1211,                 1.0881,                 1.1516,                0.78868,                0.63891,                0.71727,                0.55164,                 1.0412,                0.85653,                 1.0711,             0.00010816,             0.00010816,             0.00010816
                     49,                  1.137,                 1.0999,                 1.1675,                0.78255,                0.66245,                0.72678,                0.56543,                 1.0337,                0.85562,                 1.0664,             0.00010793,             0.00010793,             0.00010793
                     50,                   1.07,                 1.0022,                 1.1487,                0.82503,                0.65675,                0.72918,                0.57055,                 1.0384,                0.84109,                 1.0695,             0.00010769,             0.00010769,             0.00010769
                     51,                 1.1447,                 1.0361,                 1.1644,                0.84555,                0.63182,                0.72522,                0.56192,                  1.029,                0.84561,                 1.0635,             0.00010745,             0.00010745,             0.00010745
                     52,                 1.0985,                 1.0308,                 1.1538,                0.83117,                0.65484,                0.73698,                 0.5719,                 1.0384,                0.84548,                 1.0667,             0.00010722,             0.00010722,             0.00010722
                     53,                 1.1029,                 1.0465,                 1.1304,                0.79803,                  0.682,                0.74187,                0.57498,                 1.0297,                  0.841,                 1.0646,             0.00010698,             0.00010698,             0.00010698
                     54,                 1.1547,                  1.102,                 1.1677,                0.72255,                0.67762,                  0.726,                 0.5642,                 1.0359,                 0.8415,                 1.0637,             0.00010675,             0.00010675,             0.00010675
                     55,                 1.0798,                 1.0454,                  1.144,                0.80166,                0.66367,                0.73037,                0.56526,                 1.0149,                0.83042,                 1.0585,             0.00010651,             0.00010651,             0.00010651
