                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3383,                 1.7984,                 1.3307,                0.51806,                0.27717,                0.31576,                0.19329,                 1.5784,                 2.1639,                 1.4309,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.3286,                  1.681,                 1.3256,                0.51549,                0.36286,                0.41905,                0.26243,                 1.3776,                 1.7122,                 1.3118,             1.7815e-05,             1.7815e-05,             1.7815e-05
                      3,                 1.3032,                  1.586,                 1.2735,                0.51729,                0.44678,                0.51305,                0.34729,                 1.2987,                  1.466,                  1.269,             2.7262e-05,             2.7262e-05,             2.7262e-05
                      4,                 1.3512,                 1.6563,                 1.3181,                0.55357,                0.52746,                 0.5589,                0.39069,                 1.2328,                 1.3069,                  1.217,             3.6671e-05,             3.6671e-05,             3.6671e-05
                      5,                 1.2808,                 1.4383,                 1.2937,                0.59676,                0.55614,                0.59292,                0.41762,                 1.2111,                 1.2295,                 1.2098,             4.6042e-05,             4.6042e-05,             4.6042e-05
                      6,                 1.2287,                 1.5178,                 1.2692,                0.62331,                0.55599,                0.60585,                0.42958,                 1.2087,                 1.1983,                 1.2027,             5.5376e-05,             5.5376e-05,             5.5376e-05
                      7,                 1.2475,                 1.3561,                 1.2767,                0.69295,                0.57567,                0.63208,                0.44138,                 1.1855,                 1.1528,                 1.1931,             6.4672e-05,             6.4672e-05,             6.4672e-05
                      8,                 1.2443,                 1.3694,                 1.2697,                0.65667,                0.56771,                0.64261,                 0.4505,                 1.1875,                 1.1067,                  1.194,             7.3931e-05,             7.3931e-05,             7.3931e-05
                      9,                 1.1898,                 1.3087,                 1.2265,                0.69433,                0.60318,                0.65852,                0.46521,                 1.1749,                 1.0765,                 1.1906,             8.3152e-05,             8.3152e-05,             8.3152e-05
                     10,                  1.212,                 1.3783,                 1.2696,                0.68947,                0.60755,                0.66994,                0.47317,                 1.1744,                 1.0606,                 1.1872,             9.2335e-05,             9.2335e-05,             9.2335e-05
